epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.5699,1.17677,1.45641,1.22533,0.73025,0.57831,0.6753,0.51057,1.05744,1.0211,1.10624,8.33e-06,8.33e-06,8.33e-06
2,204.891,1.17978,1.3127,1.2536,0.70424,0.60612,0.69204,0.52085,1.04972,0.99123,1.09892,1.76733e-05,1.76733e-05,1.76733e-05
3,296.217,1.23645,1.35114,1.26212,0.69692,0.61716,0.69918,0.52663,1.04356,0.97503,1.09405,2.68281e-05,2.68281e-05,2.68281e-05
4,384.861,1.10314,1.26946,1.21648,0.71988,0.62757,0.71034,0.52802,1.03863,0.96118,1.09066,3.57944e-05,3.57944e-05,3.57944e-05
5,470.726,1.11122,1.13523,1.19266,0.7315,0.64,0.71513,0.5427,1.02589,0.93724,1.08025,4.45722e-05,4.45722e-05,4.45722e-05
6,557.899,1.07613,1.12093,1.20141,0.71938,0.66922,0.72431,0.55245,1.01311,0.91678,1.07399,5.31615e-05,5.31615e-05,5.31615e-05
7,645.629,1.12245,1.09712,1.18409,0.7355,0.6637,0.73648,0.55816,1.00484,0.89651,1.06931,6.15623e-05,6.15623e-05,6.15623e-05
8,733.109,1.11194,1.13224,1.18043,0.73369,0.68059,0.74249,0.56512,1.0047,0.88065,1.06555,6.97746e-05,6.97746e-05,6.97746e-05
9,813.495,1.05937,1.04015,1.1409,0.75935,0.6785,0.74487,0.57232,1.01022,0.86646,1.06616,7.77984e-05,7.77984e-05,7.77984e-05
10,891.78,1.06757,1.03713,1.15853,0.77551,0.68363,0.75202,0.58071,1.00562,0.85041,1.06345,8.56337e-05,8.56337e-05,8.56337e-05
11,975.11,1.09136,1.03267,1.15722,0.80496,0.68534,0.76595,0.59529,0.98765,0.82438,1.05084,9.32805e-05,9.32805e-05,9.32805e-05
12,1056.62,1.0682,1.02702,1.13819,0.81663,0.69886,0.77437,0.59684,0.98144,0.81163,1.04849,0.000100739,0.000100739,0.000100739
13,1138.25,1.05188,0.99456,1.15923,0.80151,0.70838,0.77733,0.59563,0.97601,0.79882,1.04423,0.000104863,0.000104863,0.000104863
14,1219.7,1.04436,1.00783,1.14505,0.81702,0.71057,0.78639,0.60231,0.967,0.78719,1.03972,0.000103685,0.000103685,0.000103685
15,1303.84,1.05641,0.9986,1.16514,0.83559,0.71033,0.78969,0.61246,0.95599,0.77366,1.03236,0.000102507,0.000102507,0.000102507
16,1386.26,0.97443,0.94473,1.12176,0.83174,0.7195,0.79519,0.61994,0.94613,0.76242,1.02957,0.000101329,0.000101329,0.000101329
17,1469.01,0.98421,0.91976,1.12628,0.83702,0.72563,0.80632,0.62628,0.92928,0.74728,1.02344,0.00010015,0.00010015,0.00010015
18,1552.11,1.05634,0.94716,1.12938,0.84528,0.71963,0.80478,0.63391,0.91756,0.73297,1.01876,9.89723e-05,9.89723e-05,9.89723e-05
19,1642.15,0.99377,0.89856,1.10454,0.83253,0.72814,0.81315,0.63872,0.90865,0.72226,1.0139,9.77942e-05,9.77942e-05,9.77942e-05
20,1733.04,0.94612,0.88814,1.08623,0.84646,0.73169,0.81607,0.64397,0.89989,0.71294,1.0096,9.66161e-05,9.66161e-05,9.66161e-05
21,1816.05,0.97505,0.88429,1.10338,0.85415,0.73467,0.81842,0.65014,0.89429,0.69991,1.00526,9.5438e-05,9.5438e-05,9.5438e-05
22,1902.75,0.98586,0.88072,1.09793,0.85919,0.73266,0.82029,0.65491,0.88298,0.68969,0.9986,9.42599e-05,9.42599e-05,9.42599e-05
23,1987.39,0.99685,0.8441,1.08637,0.85054,0.74904,0.82284,0.66011,0.87834,0.67619,0.99615,9.30818e-05,9.30818e-05,9.30818e-05
24,2070.94,0.94808,0.86327,1.12196,0.85703,0.7377,0.82906,0.66015,0.87356,0.66537,0.99161,9.19037e-05,9.19037e-05,9.19037e-05
25,2156.25,0.94307,0.84546,1.07655,0.8682,0.73267,0.83006,0.6656,0.86871,0.65584,0.98893,9.07256e-05,9.07256e-05,9.07256e-05
26,2242.02,0.90626,0.84313,1.06165,0.86754,0.72866,0.83045,0.66703,0.86483,0.65382,0.98662,8.95475e-05,8.95475e-05,8.95475e-05
27,2325.46,0.93954,0.8925,1.0862,0.86999,0.72776,0.83734,0.67291,0.85654,0.64807,0.98433,8.83694e-05,8.83694e-05,8.83694e-05
28,2409.3,0.97871,0.85083,1.10032,0.8572,0.7382,0.83792,0.67343,0.8452,0.64093,0.98106,8.71913e-05,8.71913e-05,8.71913e-05
29,2493.73,0.9675,0.83914,1.10014,0.88193,0.72763,0.83942,0.67285,0.84095,0.63871,0.9791,8.60132e-05,8.60132e-05,8.60132e-05
30,2576.68,0.9505,0.80652,1.07951,0.8745,0.74246,0.84861,0.67705,0.83556,0.6341,0.97543,8.48351e-05,8.48351e-05,8.48351e-05
31,2659.22,0.92174,0.79228,1.07242,0.88563,0.733,0.84494,0.67572,0.82998,0.6291,0.97187,8.3657e-05,8.3657e-05,8.3657e-05
32,2742.36,0.92836,0.80619,1.06271,0.87544,0.75428,0.84748,0.68261,0.82842,0.62406,0.97016,8.24789e-05,8.24789e-05,8.24789e-05
33,2828.48,0.8991,0.77647,1.05427,0.86669,0.7564,0.84712,0.68473,0.82671,0.61548,0.96871,8.13008e-05,8.13008e-05,8.13008e-05
34,2911.59,0.91769,0.80581,1.06038,0.87673,0.75627,0.85011,0.68447,0.82533,0.61079,0.9682,8.01227e-05,8.01227e-05,8.01227e-05
35,2994.34,0.96166,0.81393,1.08619,0.88569,0.75242,0.85042,0.68459,0.82237,0.60627,0.96708,7.89446e-05,7.89446e-05,7.89446e-05
36,3081.47,0.92406,0.77708,1.05551,0.8624,0.77524,0.86311,0.68965,0.81634,0.60516,0.96387,7.77665e-05,7.77665e-05,7.77665e-05
37,3165.18,0.97833,0.83313,1.08114,0.84927,0.77962,0.86141,0.68808,0.81648,0.60521,0.96285,7.65884e-05,7.65884e-05,7.65884e-05
38,3249.5,0.89524,0.75858,1.05696,0.85228,0.77785,0.86083,0.69097,0.81415,0.60115,0.96073,7.54103e-05,7.54103e-05,7.54103e-05
39,3331.73,0.86754,0.7363,1.05571,0.86907,0.76417,0.86134,0.69517,0.81264,0.59567,0.96068,7.42322e-05,7.42322e-05,7.42322e-05
40,3416.41,0.88698,0.77234,1.07746,0.87104,0.75145,0.86294,0.69397,0.80764,0.59098,0.95847,7.30541e-05,7.30541e-05,7.30541e-05
41,3501.85,0.90428,0.75198,1.05269,0.77013,0.82592,0.86395,0.69648,0.80092,0.58562,0.9561,7.1876e-05,7.1876e-05,7.1876e-05
42,3593.39,0.87272,0.74858,1.04764,0.80136,0.82047,0.86719,0.70184,0.79391,0.58229,0.9548,7.06979e-05,7.06979e-05,7.06979e-05
43,3685.24,0.85971,0.70726,1.03615,0.80961,0.82187,0.86828,0.70357,0.79178,0.58343,0.95478,6.95198e-05,6.95198e-05,6.95198e-05
44,3792.77,0.8761,0.75982,1.04855,0.82387,0.81734,0.86641,0.70203,0.78924,0.58546,0.95416,6.83417e-05,6.83417e-05,6.83417e-05
45,3891.96,0.90522,0.76239,1.05698,0.83117,0.81692,0.86741,0.70575,0.78834,0.58892,0.95307,6.71636e-05,6.71636e-05,6.71636e-05
46,3988.02,0.92197,0.759,1.04328,0.84105,0.81039,0.86692,0.70897,0.78622,0.59203,0.95135,6.59855e-05,6.59855e-05,6.59855e-05
47,4084.9,0.86573,0.73441,1.04796,0.86052,0.80364,0.86753,0.71192,0.78427,0.58885,0.94888,6.48074e-05,6.48074e-05,6.48074e-05
48,4202.76,0.87688,0.74934,1.05917,0.87006,0.8039,0.87152,0.71197,0.783,0.58206,0.94683,6.36293e-05,6.36293e-05,6.36293e-05
49,4293.26,0.88948,0.71355,1.02304,0.86506,0.8025,0.87,0.71706,0.77925,0.5737,0.94435,6.24512e-05,6.24512e-05,6.24512e-05
50,4387.75,0.89934,0.74982,1.06248,0.86015,0.80817,0.87225,0.71844,0.77521,0.56826,0.94259,6.12731e-05,6.12731e-05,6.12731e-05
51,4488.59,0.85358,0.70117,1.02563,0.86774,0.80288,0.87439,0.71901,0.77196,0.56515,0.94098,6.0095e-05,6.0095e-05,6.0095e-05
52,4590.08,0.88255,0.73133,1.03216,0.88445,0.79672,0.87558,0.71939,0.76903,0.56411,0.93952,5.89169e-05,5.89169e-05,5.89169e-05
53,4700.78,0.91532,0.74839,1.0577,0.8957,0.79602,0.8766,0.72379,0.7625,0.56025,0.9369,5.77388e-05,5.77388e-05,5.77388e-05
54,4811.44,0.89048,0.72468,1.02898,0.9088,0.7917,0.87675,0.72551,0.75623,0.55754,0.93481,5.65607e-05,5.65607e-05,5.65607e-05
55,4915.24,0.86449,0.73104,1.05242,0.9087,0.79258,0.8771,0.7257,0.75394,0.56013,0.93384,5.53826e-05,5.53826e-05,5.53826e-05
56,5019.91,0.84816,0.69843,1.04025,0.91273,0.79316,0.8775,0.72294,0.753,0.55766,0.93527,5.42045e-05,5.42045e-05,5.42045e-05
57,5125.67,0.88498,0.72237,1.04841,0.9055,0.79786,0.87839,0.72345,0.75024,0.55272,0.93503,5.30264e-05,5.30264e-05,5.30264e-05
58,5222.64,0.86551,0.70257,1.03835,0.91266,0.79706,0.88107,0.72732,0.74812,0.54566,0.93402,5.18483e-05,5.18483e-05,5.18483e-05
59,5309.22,0.90871,0.73409,1.07089,0.91141,0.79629,0.88113,0.72807,0.74658,0.5405,0.93294,5.06702e-05,5.06702e-05,5.06702e-05
60,5381.65,0.86495,0.70182,1.03858,0.91078,0.79957,0.88418,0.72921,0.74579,0.53822,0.93213,4.94921e-05,4.94921e-05,4.94921e-05
61,5464.7,0.8382,0.71989,1.05612,0.90443,0.80047,0.88405,0.72893,0.74461,0.53656,0.93147,4.8314e-05,4.8314e-05,4.8314e-05
62,5547.16,0.85515,0.70192,1.04295,0.8984,0.80184,0.88157,0.7296,0.74219,0.53494,0.9309,4.71359e-05,4.71359e-05,4.71359e-05
63,5622.64,0.82716,0.67414,1.01391,0.89043,0.8157,0.88431,0.73093,0.73718,0.53321,0.92938,4.59578e-05,4.59578e-05,4.59578e-05
64,5702.6,0.86822,0.695,1.02708,0.89201,0.81508,0.88328,0.73149,0.73363,0.53282,0.92813,4.47797e-05,4.47797e-05,4.47797e-05
65,5790.63,0.88762,0.70364,1.0496,0.88911,0.82232,0.88497,0.73393,0.73203,0.5341,0.92687,4.36016e-05,4.36016e-05,4.36016e-05
66,5880.14,0.90213,0.71446,1.02911,0.89166,0.82599,0.88648,0.73586,0.73275,0.53437,0.92711,4.24235e-05,4.24235e-05,4.24235e-05
67,5974.78,0.878,0.73375,1.03478,0.88413,0.83108,0.88654,0.73425,0.73322,0.53421,0.92671,4.12454e-05,4.12454e-05,4.12454e-05
68,6067.6,0.89705,0.71568,1.03406,0.87999,0.82746,0.88488,0.73541,0.73335,0.5335,0.92615,4.00673e-05,4.00673e-05,4.00673e-05
69,6158.61,0.8007,0.6443,1.00536,0.87855,0.82433,0.88475,0.73738,0.73164,0.53024,0.92472,3.88892e-05,3.88892e-05,3.88892e-05
70,6248.1,0.8339,0.67155,1.01296,0.87935,0.83126,0.88978,0.74355,0.72859,0.52647,0.92323,3.77111e-05,3.77111e-05,3.77111e-05
71,6336,0.8024,0.67605,1.01214,0.88689,0.82827,0.89032,0.74147,0.72568,0.52206,0.922,3.6533e-05,3.6533e-05,3.6533e-05
72,6426.84,0.85597,0.6859,1.03584,0.88916,0.82794,0.89253,0.7424,0.72305,0.51761,0.92109,3.53549e-05,3.53549e-05,3.53549e-05
73,6514.97,0.81689,0.67526,1.02891,0.88314,0.82916,0.89156,0.7428,0.72227,0.51566,0.92051,3.41768e-05,3.41768e-05,3.41768e-05
74,6602.36,0.83302,0.67913,1.01607,0.89717,0.82963,0.89302,0.74507,0.72174,0.51366,0.92016,3.29987e-05,3.29987e-05,3.29987e-05
75,6688.58,0.83004,0.68794,1.0161,0.89339,0.82931,0.89384,0.74486,0.72117,0.51232,0.92012,3.18206e-05,3.18206e-05,3.18206e-05
76,6775.28,0.85665,0.68743,1.02135,0.8869,0.82936,0.8933,0.74485,0.72015,0.51165,0.91985,3.06425e-05,3.06425e-05,3.06425e-05
77,6864.53,0.78073,0.64371,1.01039,0.89213,0.82556,0.89235,0.7458,0.71952,0.51219,0.91984,2.94644e-05,2.94644e-05,2.94644e-05
78,6954.04,0.78178,0.66613,1.0122,0.89612,0.82607,0.89208,0.74735,0.71977,0.51175,0.91972,2.82863e-05,2.82863e-05,2.82863e-05
79,7044.75,0.80597,0.64841,1.0078,0.89619,0.82482,0.89177,0.74652,0.72043,0.51065,0.9204,2.71082e-05,2.71082e-05,2.71082e-05
80,7127.65,0.84874,0.66947,1.02444,0.90254,0.82053,0.89115,0.74596,0.72073,0.51117,0.92034,2.59301e-05,2.59301e-05,2.59301e-05
81,7213.09,0.77606,0.63561,1.00413,0.91072,0.81678,0.8911,0.7454,0.72003,0.51016,0.92032,2.4752e-05,2.4752e-05,2.4752e-05
82,7297.87,0.80857,0.65783,1.03169,0.89698,0.82345,0.88965,0.74578,0.71814,0.5085,0.91979,2.35739e-05,2.35739e-05,2.35739e-05
